NOME             > CATEGORIA          > DESCRICAO      
sublime-text     > Development        > IDE                
pycharm          > Development        > IDE Python         
balena-etcher    > Acessory           > USB Flash
tor-browser      > Internet           > Navegador Tor Browser
freetube         > Internet           > Player para o Youtube
firefox          > Internet           > Navegador Web
ms-core-fonts    > Acessory           > Fonts Microsoft
python3          > Development        > Interpretador python 3.7.8
npp              > Development        > IDE

